IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Clique1,322.0,328.0,5994.0,4161.0,167351.0
Clique2,77.0,7.0,164.0,714.0,32135.0
Clique3,56.0,5.0,54.0,207.0,18938.0
Clique4,23.0,2.0,6.0,60.0,519.0
Clique5,21.0,13.0,269.0,197.0,8459.0
Clique6,9.0,4.0,128.0,64.0,1280.0
Clique7,8.0,0.0,0.0,26.0,1356.0
Clique8,6.0,0.0,0.0,10.0,95.0
Clique9,6.0,0.0,0.0,10.0,48.0
Clique10,5.0,18.0,300.0,226.0,7705.0
Clique11,5.0,4.0,90.0,117.0,11276.0
Clique12,3.0,8.0,305.0,23.0,836.0
Clique13,2.0,0.0,0.0,4.0,693.0
Clique14,2.0,0.0,0.0,0.0,0.0
Clique15,2.0,0.0,0.0,6.0,102.0
Clique16,2.0,1.0,5.0,66.0,1343.0
Clique17,2.0,0.0,0.0,12.0,211.0
Clique18,2.0,9.0,136.0,38.0,2390.0
Clique19,2.0,0.0,0.0,19.0,2022.0
Clique20,2.0,0.0,0.0,34.0,1437.0

Clique-All,557.0,399.0,7451.0,5994.0,258196.0
